"job_title","location","state","company_name","job_desc","hard_skills","hard_skills_2","soft_skills","soft_skills_2","salary_lower_range","salary_higher_range"
"Senior Data Scientist","Louisville","KY","Humana","descriptionthe senior data scientist uses mathematics, statistics, modeling, business analysis, and technology to transform high volumes of complex data into advanced analytic solutions. the senior data scientist work assignments involve moderately complex to complex issues where the analysis of situations or data requires an in-depth evaluation of variable factors.responsibilitiesthis is a unique opportunity for a motivated individual to influence humanas vision to provide coordinated, integrated care via home care solutions and ecom (enterprise clinical operating model). the senior data scientist uses mathematics, statistics, modeling, business analysis, and technology to transform high volumes of complex data into advanced analytic solutions. the work assignments involve moderately complex to complex issues where the analysis of situations or data requires an in-depth evaluation of variable factors.responsibilitiesrecommend, design, and develop actionable analytic solutions for key business problems through in-depth investigations of healthcare utilization trends and outcomesuse advanced analytic techniques like machine learning, predictive modeling to develop sophisticated models to solve the business problemuse industry leading database systems, clinical decision engines and algorithms to extract meaningful insights from structured and unstructured data by leveraging nlp/mlensure the developed models or statistical tests are reusable and modular for effective transition to cloud in the futurework directly with aligned business partners and assist in requirements definition, project scoping, timeline management, and results documentation to ensure professional relationship managementbuild smart systems that learn from health intervention outcomes, clinical programs over timecollaborate with multiple cross-functional teams to understand the business needs, identify any operational barriers and issues, and facilitate their resolutionin the first year this role will focus on the followingdevelop effective partnerships with internal business partners and coworkerswork in an agile way to produce, interpret and recommend real time optimization opportunities for the business to implement using advanced analytics techniquesenhance the ability to work in a fast-paced environment, multitask and quickly pivot based on business needsdevelop subject matter expertise in the business needs and serve as a consulting resource for the clinical analytic needs of the stakeholdersimplement real time business feedback of analytics based on the direct needs of internal customersrequired qualificationsbachelor's degree and 5 years of applicable experience or master's degree and 3 or more years of experienceexperience in using mathematics, statistics, modeling, business analysis, and technology to transform high volumes of complex data into advanced analytic solutionsexperience in working with assignments that involve moderately complex to complex issues where the analysis of situations or data requires an in-depth evaluation of variable factorsexperience in developing, maintaining, and collecting structured and unstructured data sets for analysis and reportingexperience in creating reports, projections, models, and presentations to support business strategy and tacticsability to make decisions on moderately complex to complex issues regarding technical approach for project componentsmust be passionate about contributing to an organization focused on continuously improving consumer experiencespreferred qualificationsmaster's degreephdscheduled weekly hours40","analysis,analytic solutions,analysis,analysis,analytic solutions,analysis,analytic solutions,machine learning,predictive modeling,database systems,clinical decision engines,algorithms,nlp/ml,agile,analysis,analytic solutions,analysis,ai,ai,analysis,reporting","analysis,analytic solutions,machine learning,predictive modeling,database systems,clinical decision engines,algorithms,nlp,agile,ai,reporting","solve the business problem,passionate","solve the business problem,passionate",NA,NA
"Staff Data Scientist","San Diego","CA","Intuit","intuit is hiring a staff data scientist to focus on our consumer tax group. we are looking for exceptional talent that can improve the bottom lines of our turbotax offerings.","","","","",NA,NA
"Jr. Data Scientist","New York","NY","Iovate Health Sciences International Inc.","if you are a highly motivated individual with a passion for health & wellness along with a commitment to excellence, we want you! iovate is the maker of the muscletech, six star and hydroxycut family of products and the leader in the active nutrition, weight management and health supplements industry!due to our rapid growth and our vision to be the #1 active nutrition and weight management supplement company in the world, our company has several career opportunities for passionate, hardworking, and dedicated individuals and we are looking for people like you to join our team!our jr. data scientist will be a critical player with the newly launched digital transformation team at iovate. this role, based in new york city and reporting to the vp, data science and analytics, will work closely with analytics and business leaders to harness the vast amount of data collected by iovate since its inception as a competitive advantage. initially concentrating on data centralization and storage best practices, our data scientist will work to drive actionable customer and consumer insights, operational efficiencies, high quality marketing and sales analytics, and prediction systems utilizing a variety of techniques, including but not limited to: statistics, machine learning, data mining, decision tree, and artificial intelligence. by allowing our large-scale data to speak to business leaders, you will help to drive change and process throughout the iovate ecosystem.accountabilities:work on complex data sets to solve real world problems.participate in the design, development and evaluation of innovative models, data science products and solutions for internal clients as well as for our digital innovation team.building and extending iovate’s third party data sets as necessary.working with various internal stakeholders to enhance and our data collection procedures to include information necessary for analytical purposes.process, cleanse and verify the integrity of our data and data systems.participate in the design, testing, and maintenance of all data science related products.assist with and develop automated processes for large scale analytic products and prediction.maintain all data science code base that you contribute in github so that our ongoing analyses are repeatable and verifiable.provide consultation on best practices in experimental design and serve as a thought leader within the organization as to how we measure results.core competencies:bachelor’s degree in computer science, mathematics, data science, statistics, econometrics or other quantitative field with significant scripting needs required.at least one year of experience in utilizing data science and analytics techniques to business problems.master’s degree in a relevant quantitative field preferred.expertise in sql, and familiarity with nosql databases like mongodb or dynamodb preferred.significant experience coding in r and python required. familiarity with dplyr, ggplot, pandas and other data manipulation packages will be a significant benefit to the successful candidate.experience utilizing standard web api’s (facebook, google, etc) for the purposes of ingesting data highly desirable.experience with ols, mle, machine learning, decision tree/random forest, and ai.culture:located in new york we offer a dynamic, progressive, team-based environment. we offer a comprehensive benefits package and the opportunity to grow with us. for further information please visit us at www.iovate.com.iovate health sciences international inc. is an equal opportunity employer and is committed to ensuring an inclusive and accessible work environment. if you require accommodations to fully participate in the recruitment and selection process, please contact the iovate human resources team to make an accommodation request. any information received relating to accommodations will be treated as confidential.we appreciate applicant interest in this position, however, due to the volume of submissions, the iovate human resources team will only contact candidates selected for an interview.job type: full-time","excel,git,reporting,machine learning,artificial intelligence,git,ai,ai,ai,git,sql,sql,mongodb,dynamodb,python,dplyr,ggplot,pandas,ols,mle,machine learning,decision tree/random forest,ai,r, ","excel,git,reporting,machine learning,ai,sql,mongodb,dynamodb,python,dplyr,ggplot,pandas,ols,mle,decision trees,r","highly motivated,passionate","highly motivated,passionate",NA,NA
"Sr. Data Scientist/Machine Learning Engineer","Miami","FL","aikiu","this role is key to accelerating the growth of aikiú, since its main mission is focused on building a reputation as the main provider of – audience-based business intelligence - in the market.the data scientist position is of utmost relevance to aikiú, since the operations team is the machine that moves our company. this role is very wide and varied, since in order to maintain and improve our proven formula, you must design and implement solutions based on data and technologies, to respond to the needs of our customers, taking into account the market vision and the objective of leading them towards performance – driven consulting.expert level is required in the following or similar tools: google tag manageradobe marketing cloud or similar.hubspot or similarlooker or similarexcelbrandwatchresponsibilities: implement and improve new, or pre-existing, operational strategies that take advantage of our database systems and processes.support the operating team in the daily operation, through different marketing management channels and at different times of the process.understand and communicate the business objectives of the client and aikiú to the operating team, through detailed implementation guidelines.create and maintain the processes and decision standards in real time and generate documentation (tables, graphs, logical guidelines, etc.) so that the operating team is able to process data according to pre-existing standards and generate new ones for those who still they do not exist.constantly question and monitor business logic and strategies at the operational level of the company, to identify gaps that could result in poor decision-making, developing recommendations in conjunction with aikiú’s team and management.monitor the performance of aikiú’s operation’s team through metrics and indicators, as well as constantly audit project outcomes to ensure that aikiú standards and client objectives are being adequately met.develop the relationship with our national and international technology partners.lead the business operations and analytics department.in aikiú we support the development of the team not individualism, we encourage the use of the office with the home office, we do not accept the continued excuses, nor the buts, we encourage the how can we provide solutions to different situations, and with daily maximum effort together we will build our company of tomorrow.job type: full-timesalary: $70,000.00 to $110,000.00 /yearexperience:areas of algorithms: 5 years (required)plus total: 5 years (preferred)machine learning: 3 years (required)professional it: 5 years (required)working with data: 5 years (required)additional compensation:bonuseswork location:one locationfully remotebenefits:health insurancesigning bonusflexible schedulevisa sponsorship potentially available:yes: h-1b work authorizationyes: other non-immigrant work authorization (e.g. l-1, tn, e-3, o-1, etc.)yes: immigrant visa sponsorship (e.g., green card sponsorship)schedule:monday to fridaybenefit conditions:only full-time employees eligible","ai,ai,ai,business intelligence,ai,ai,ai,ols,looker,excel,database systems,ai,ai,ai,ai,ai,ai,ai,ai,ai,ai,algorithms,machine learning,ai","ai,business intelligence,ols,looker,excel,database systems,algorithms,machine learning","communicate,decision-making","communicate,decision-making",70000,110000
"Data Scientist Intern","Beverly Hills","CA","NBCUniversal","you love working with structured/unstructured data and can leverage data querying tools like sql to extract information – both granular and high-level statistics, across cloud computing platforms. this information will help answer questions around our ticketing/streaming product, crm/marketing campaigns, paid media, digital and social media data. as part of the business intelligence team, you will work closely with stakeholders (both internal and external) to extract, summarize, model (using either r/python or big data technologies) and inform leadership on kpi’s defined for the project through your high quality and timely analyses.responsibilities:ticketing product analyticsconversion optimizationa/b tests set-up, reporting, analysisgenerate meaningful insights and data visualizationsmovie product (fandango 360) attribution and modelingassist with initiatives such as proof of concepts data extracts, quality assurance and other specificationsunderstand existing structure and help supporting models that enhances studio experiencecrm/paid marketing campaign analysis and reportinglist creation through analysis of customer behavior and working with stakeholdersdata operationsqualifications/requirementsworking towards a b.s. / m.s. degree in data science, computer science, mathematics, statistics, engineering, or a related technical disciplinehighly collaborative attitude to solve problems as part of a larger teamknowledgeable in one or more programs is required - sql, python, r, and visualization toolsworking understanding of powerpoint presentation and good grasp of microsoft excel features and functions to slice and dice datadesired characteristicsin pursuit of an associate, bachelor or graduate degree at an accredited institution and be able to provide documentation to confirm your degree in progresscurrent class standing of sophomore or above (30 credits) (rising sophomore, junior, or senior)cumulative gpa of 3.0 or abovemust be 18 years of age or oldermust have unrestricted authorization to work in the u.s. without a visa or sponsorshipmust be able to work on-site in beverly hills, camust be available during our program: june 1 – august 10, monday – friday, about 9am-6pm, approximately 40 hours/week, for 10 weeksinternship positions are paid and do not require school creditrecent graduates will not be eligiblefollow our fandango intern ig page @fandangointernssub-businessfandangocareer levelco-op/interncitybeverly hillsstate/provincecaliforniacountryunited statesabout usat fandango, we love movies. from showtimes and ticketing, to engaging content and innovations in movie going- we strive to deliver the perfect movie going experience—anytime, anywhere. and to be the go-to destination for moviegoers, we think it’s all about collaboration. anyone can build a website or app, but it takes a special group across many disciplines to create an experience that can live across multiple platforms and connected devices. thanks to an exceptional team, we’re working hard to make fandango a little bit better every day. our 30 million (and growing!) online and mobile monthly visitors can now buy movie tickets at over 25,000 screens nationwide and stay for exclusive trailers, our award-winning original video series, movie reviews, celebrity interviews and more. so, if you’re looking to inspire, be inspired and work at the intersection of entertainment and technology look no further than fandango. visit fandango.com/careers for a behind-the-scenes look at fandango and follow us on linkedin for the latest news and updates. fandango is an nbcuniversal company.noticesnbcuniversal’s policy is to provide equal employment opportunities to all applicants and employees without regard to race, color, religion, creed, gender, gender identity or expression, age, national origin or ancestry, citizenship, disability, sexual orientation, marital status, pregnancy, veteran status, membership in the uniformed services, genetic information, or any other basis protected by applicable law. nbcuniversal will consider for employment qualified applicants with criminal histories in a manner consistent with relevant legal requirements, including the city of los angeles fair chance initiative for hiring ordinance, where applicable.","ols,sql,ai,ai,git,business intelligence,python,big data,a/b tests set-up,reporting,analysis,data visualizations,ai,ai,analysis,reporting,analysis,sql,python,r, ,visualization,ols,excel,r, ,ai,ai,ai,ai,r, ,r, ,ai","ols,sql,ai,git,business intelligence,python,big data,a/b tests set-up,reporting,analysis,visualizations,r,visualization,excel","collaboration","collaboration",NA,NA
"Data Scientist - New College Grad","Sunnyvale","CA","Proofpoint","it's fun to work in a company where people truly believe in what they're doing!we're committed to bringing passion and customer focus to the business.the rolewould you like to apply cutting edge data science techniques to help protect the world against cyber threats? at proofpoint, we work with unique data sets and craft peta byte scale solutions to help protect some of the most targeted people especially in fortune 500 companies. one of the things that makes our problem space so challenging is that dynamic nature of the threat landscape. we need to outsmart the threat actors and be two steps ahead of the game. this is where static rule based systems can’t keep up with the sheer number of threat features we deal with and we need smarter machine learning solutions to help tackle the problem. as a member of our team, you will be part of the design and development of new game changing solutions that would have a real impact on the next generation security solutions at proofpoint.your day to dayanalyze data to research and improvement classifiersoversee creation of data sets for machine learning training/verification/testingresearch improving and creating new models for improving classificationwork with engineering to productionize modelsdevelop methods to evaluation new machine learning modelscreate longer monitor of models.what you bring to the teamgood understanding of machine learning algorithms, tools and platformsexperience in at least one of these toolkits: numpy, scipy, scikit-learn, tensorflow, pytorch, keras, genism, vowpal wabbit, etc.understanding of programming fundamentalspython proficiencyself-starter and intellectual curiositygreat communication skills, ability to explain predictive analytics to non-technical audienceproficiency in data exploration techniques and toolsproven understanding of scientific methodmaster/ph.d. encourageif you like wild growth and working with happy, enthusiastic over-achievers, you'll enjoy your career with us!","ai,machine learning,machine learning,ai,machine learning,machine learning,algorithms,ols,numpy,scipy,scikit-learn,tensorflow,pytorch,keras,genism,vowpal wabbit,python,ai,ols","ai,machine learning,algorithms,ols,numpy,scipy,scikit-learn,tensorflow,pytorch,keras,genism,vowpal wabbit,python","communication,enthusiastic over-achievers","communication,enthusiastic over-achievers",NA,NA
"Junior Data Scientist (Entry Level)","Plano","TX","Sigmoid","about sigmoid analytics*sigmoid is data solutions consulting company focused on building data engineering & data science solutions for large technology, financial services & retail cpg companies.having started in 2013 by three iit kharagpur alumni, rahul, lokesh & mayur. we have now grown into a 200+ members strong team with offices in san francisco, ca; dallas, tx; jersey city, nj and bangalore, india. sigmoid is rapidly growing & is backed by sequoia capital.**sigmoid, a leader in real-time interactive solutions & is a proud winner of the #tie50 award for 2018. we have been recognized as a winner among 7400+ companies across 28 countries. it's a heartwarming feeling, inspires us further to achieve greater heights in the times to come.**basic qualification: currently studying in under-graduate course or with a bachelor’s/ master’s degree in statistics/engineering/ scienceexperience: 0-3 yearswhat will you be doing: you will undergo a training program for technology development, software development process & client communication.once training is complete, you will be assigned a client team inside sigmoid to work with on an active engagement. duties will include, but not restricted to:client engagement - engage with clients to understand their business challengesdata science: develop software along with team for data pipeline developmentdata analysis: for development, test environment creation & monitoring data pipelinesexperience working in a global delivery model alongside offshore teams to solve data-intensive problems using sigmoid’s data engineering frameworks and toolsgather client requirements onsite in us & provide context to the offshore teams based out of bangalore, indiapresent the results of the work to the client’s senior management, offering actionable insights and recommendations that lead to measurable business impactbuild relationships with clients, helping them improve their consumption of analytics to drive their business operations and decision-makingwhat you will bring to the table:ability to code and develop scalable software systemsa problem solving mindset - ability to find the problem, and identify the root cause of the situationgood communication skills, so that you are able to connect with your colleagues and clientgood interpersonal skills - with your colleagues and clients. both the client and your colleagues should be able to connect with you.what you will gain from the experience:an insight into the big data industry which is the latest trend in the it industryin depth knowledge of how data engineering works in real life scenarioopportunity to interact with top level executives in the industry, and get hands on experience in machine learning, data science, data engineeringexposure - as to how we at sigmoid uphold our business values, while interacting and working with clients in multiple countriesyou will learn a lot, and have an upper hand over your peers with regard to your knowledge of handling data, solving real life data related problems, interacting with clients on a real life basis. and having the opportunity to work with the top brains from premier educational institutions in usa & india.*job type: full-timesalary: $50,000.00 to $70,000.00 /yearwork authorization:united states (required)work location:one locationmultiple locationsbenefits:health insurancedental insurancevision insurancepaid time offrelocation assistance","ai,ai,ai,analysis,ols,ai,big data,machine learning,ai,ai","ai,analysis,ols,big data,machine learning","communication,decision-making,problem solving,communication,interpersonal skills","communication,decision-making,problem solving,interpersonal skills",50000,70000
"Data Science Intern","Los Angeles","CA","Dolphin","what we dodolphin (withdolphin.com) is a free resource that helps you:find high-impact jobs and internships solving pressing issues such as climate change, healthcare, education, space exploration and more.stand out to recruiters with q&as that our in-house recruiters work with you to polish to emphasize you're more than just a resume.make up to $15,000 by referring your friends to high-impact jobs.what you'll dodolphin is currently looking for data science interns for summer 2020. successful interns will be quantitative fast learners proficient in sql, python, heap.io, and google analytics that also understand the dolphin product and growth funnel in-depth.we believe that the highest-leverage thing to do right now is to connect talented people to roles tackling major problems they care about. the data science intern will play a pivotal part in helping us achieve this mission.responsibilities include:analyzing our database of jobs for patterns in job types and job content.analyzing user activity data patterns to find reasons why people engage and churn.building a full funnel view of the user journey with our analytics stack.making product recommendations based on the data.helping the growth and product teams set up and track experiments.this internship is full-time from 6/1/2020 to 8/21/2020 in los angeles with possibility for remote work. learn more at withdolphin.com.job types: full-time, temporary, internship, contractsalary: $25.00 /hourcontract renewal:likelyfull time opportunity:yeswork location:one locationfully remotebenefits:noneschedule:monday to friday","sql,python,heap.io,google analytics","sql,python,heap,google analytics","","",15000,15000
"2020 Fulltime: Data Scientist - Technology","Plano","TX","Walmart","position summary...what you'll do...develops analytical models to drive analytics insights by gathering data from internal and external sources; evaluating data usability based on project goals; synthesizing data into large datasets to support project goals; developing statistical models and computational algorithms to analyze data; utilizing the analytics project lifecycle process to drive predictive modeling; coding, testing, and maintaining analytical software tools; identifying trends, patterns and discrepancies in data; training statistical models for replication for future projects; and presenting data insights and recommendations to key stakeholders.leads small and participates in large data analytics project teams by serving as a technical lead for analytics projects; working with project teams and business partners to determine project goals; developing contingency plans for data analysis; determining modeling based on business needs; directing the analysis of data; gathering data and developing reports as needed; utilizing business knowledge to ensure data supports project goals; analyzing data based on identified variables; reviewing data results to ensure accuracy; and communicating results and insights to the project team and business partners.presents data insights and recommendations to key stakeholders by developing insights based on data analysis; applying analytical results to project goals; identifying trends and key insights; translating results into business actions; and presenting insights and recommendations to key stakeholders.participates in the continuous improvement of data science and analytics by developing replicable solutions (for example, codified data products, project documentation, process flowcharts) to ensure solutions are leveraged for future projects; building and maintaining a library of reusable algorithms for future use; ensuring developed code is documented; and coaching and mentoring analysts across the division and project teams. demonstrates up-to-date expertise and applies this to the development, execution, and improvement of action plans by providing expert advice and guidance to others in the application of information and best practices; supporting and aligning efforts to meet customer and business needs; and building commitment for perspectives and rationales. provides and supports the implementation of business solutions by building relationships and partnerships with key stakeholders; identifying business needs; determining and carrying out necessary processes and practices; monitoring progress and results; recognizing and capitalizing on improvement opportunities; and adapting to competing demands, organizational changes, and new responsibilities. models compliance with company policies and procedures and supports company mission, values, and standards of ethics and integrity by incorporating these into the development and implementation of business plans; using the open door policy; and demonstrating and assisting others with how to apply these in executing business processes and practices.minimum qualifications...outlined below are the required minimum qualifications for this position. if none are listed, there are no minimum qualifications.minimum qualifications: bachelor of science and 2 years' data science experience or master of science and 1 year's data science experience.preferred qualifications...outlined below are the optional preferred qualifications for this position. if none are listed, there are no preferred qualifications.analytics - big data, business analytics, oracle, programming languages, relational database management system (rdms), statistical programming languagebachelors: analytics, bachelors: economics, bachelors: mathematics, bachelors: statistics, doctorate: analytics, doctorate: mathematics, doctorate: statistics, masters: analytics, masters: economics, masters: mathematics, masters: statistics","algorithms,predictive modeling,ai,ai,ols,ai,analysis,analysis,analysis,ai,ai,algorithms,big data,business analytics,oracle,statistical programming language","algorithms,predictive modeling,ai,ols,analysis,big data,business analytics,oracle,statistical programming language","","",NA,NA
"Data Scientist (All Levels) - Santa Clara","Santa Clara","CA","LeanTaaS","help build technology that saves lives!leantaas is a fast-growing healthcare technology company that uses sophisticated optimization, simulation, and machine learning to make healthcare providers more efficient.our technology opens capacity at many of the best us hospitals (stanford, ucsf, duke, etc.), so that more patients can receive the best care on the planetour leadership includes a senior partner from mckinsey and google executiveswe are a market leader in our spacewe recently raised the last $40m tranche of our series c from goldman sachs bringing the investment total to $110mwe are in cbinsights’ top 100 ai companies in the worldwe welcome mission-driven data scientists across all experience levels. if our mission of improving patient access to healthcare and their experience is exciting to you, come talk to us!you will:work in a small data science team imbedded into one of our four product verticalsmake sense of complex electronic health record (ehr) data related to surgeries, doctors, patients, etc. and help us derive greater value from our dataenhance our simulation, optimization, and prediction capabilitiesown your projects end-to-end including a technology stack, data consumption, modeling, algorithm development and evaluation, and production deploymentwear a product hat to ideate and iterate on features and experiences that allow your users to run hospitals like a clockmeet with customers to get their feedback on your services and seek to improve themwho you are:you have an advanced degree in operations research, machine learning, or a related field and 2+ years of relevant industry or academic experienceyou have strong analytical and problem solving skills and a deep understanding in at least one sub-area of operations research or machine learningyou write clean python and sql codeyou collaborate with cross-functional species like product managers, data engineers, and data analystsyou communicate complex quantitative matters in a clear, precise, and actionable manneryou have a great sense of ownership and attention to detail","machine learning,ai,ai,machine learning,machine learning,python,sql,r, ,ai","machine learning,ai,python,sql,r","problem solving,communicate","problem solving,communicate",NA,NA
